�ndice,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grupo de alimentos,ALIMENTO,Grupo_de_alimentos_ALIMENTO,Cantidad sugerida,Unidad,Peso bruto (g),Peso neto (g),Energ�a (kcal),Prote�na (g),L�pidos (g),Hidratos de carbono (g),AG saturados (g),AG monoinsaturados (g),AG poli insaturados (g),Colesterol (mg),Az�car (g),Fibra (g),Vitamina A (mg RE),Acido Asc�rbico (mg),�cido F�lico (mg),Calcio (mg),Hierro (mg),Potasio (mg),Sodio (mg),F�sforo (mg),Etanol (g),IG,Carga glic�mica
AOA alto aporte de grasa,Molida de carnero,AOA alto aporte de grasa_Molida de carnero,40,gramos,40,38,96,6.9,7.4,0.0,4.6,2.7,0.4,27.0,0.0,0.0,0.0,0.0,0.0,2.7,1.0,114.0,30.4,0.0,0.0,ND,ND
AOA alto aporte de grasa,Molida popular de res,AOA alto aporte de grasa_Molida popular de res,40,gramos,40,33,97,5.2,8.3,0.0,3.3,3.0,0.2,24.3,0.0,0.0,3.9,0.0,2.3,2.6,0.6,87.6,19.4,0.0,0.0,ND,ND
AOA alto aporte de grasa,Molleja de res,AOA alto aporte de grasa_Molleja de res,30,gramos,30,30,96,6.6,7.5,0.0,2.6,2.6,1.4,88.2,0.0,0.0,0.0,9.1,ND,3.0,0.4,ND,34.8,ND,0.0,ND,ND
AOA alto aporte de grasa,Morcilla,AOA alto aporte de grasa_Morcilla,1,rebanada**,25,25,95,3.7,8.6,0.3,3.4,4.0,0.9,30.0,0.3,0.0,0.0,0.0,1.3,1.5,1.6,9.5,170.0,5.5,0.0,ND,ND
AOA alto aporte de grasa,Morcilla de arroz,AOA alto aporte de grasa_Morcilla de arroz,1,rebanada**,25,25,95,3.7,8.6,0.3,3.4,4.0,0.9,30.0,0.3,0.0,0.0,0.0,1.3,1.5,1.6,9.5,170.0,5.5,0.0,ND,ND
AOA alto aporte de grasa,Moronga,AOA alto aporte de grasa_Moronga,1,rebanada**,25,25,95,3.7,8.6,0.3,3.4,4.0,0.9,30.0,0.3,0.0,0.0,0.0,1.3,1.5,1.6,9.5,170.0,5.5,0.0,ND,ND
AOA alto aporte de grasa,Mortadela,AOA alto aporte de grasa_Mortadela,1 1/2,rebanada,32,32,99,5.3,8.0,1.1,2.9,3.6,1.1,18.3,0.0,0.0,0.0,0.0,0.0,6.3,0.4,50.4,392.7,31.5,0.0,ND,ND
AOA alto aporte de grasa,Mozzarella fresco,AOA alto aporte de grasa_Mozzarella fresco,35,gramos,35,35,105,7.8,7.8,0.8,4.6,2.3,0.3,27.5,0.4,0.0,60.9,0.0,2.5,176.8,0.2,26.6,219.5,123.9,0.0,ND,ND
AOA alto aporte de grasa,Nugget de pollo,AOA alto aporte de grasa_Nugget de pollo,2,pieza,34,34,101,5.2,6.7,4.8,1.4,3.0,1.5,14.6,0.0,0.7,0.0,0.0,1.0,10.5,0.4,87.0,189.4,67.3,0.0,ND,ND
AOA alto aporte de grasa,Nugget de queso,AOA alto aporte de grasa_Nugget de queso,3,pieza,43,43,105,4.5,5.5,10.0,2.0,0.0,0.0,5.0,1.5,1.0,0.0,0.0,0.0,75.2,0.2,0.0,531.2,0.0,0.0,ND,ND
AOA alto aporte de grasa,Nuggets de pescado,AOA alto aporte de grasa_Nuggets de pescado,2,pieza,40,40,95,3.2,3.8,12.0,0.4,2.2,1.1,1.6,2.4,0.0,0.0,0.0,ND,0.0,0.0,ND,328.0,ND,0.0,ND,ND
AOA alto aporte de grasa,Nuguet de soya,AOA alto aporte de grasa_Nuguet de soya,2,pieza,34,34,98,4.8,6.4,5.3,1.0,1.6,3.5,0.8,0.3,1.8,0.0,0.0,0.0,16.0,0.6,61.2,283.6,68.8,0.0,ND,ND
AOA alto aporte de grasa,Osti�n ahumado,AOA alto aporte de grasa_Osti�n ahumado,55,gramos,55,55,109,4.9,6.9,6.4,1.7,2.6,18.0,44.6,0.0,0.0,49.8,1.9,7.8,34.3,3.8,134.6,229.7,87.4,0.0,ND,ND
AOA alto aporte de grasa,Osti�n empanizado,AOA alto aporte de grasa_Osti�n empanizado,55,gramos,55,55,109,4.9,6.9,6.4,1.7,2.6,1.8,44.6,0.0,0.0,49.8,1.9,7.8,34.3,3.8,134.6,229.7,87.4,0.0,ND,ND
AOA alto aporte de grasa,Palitos de pescado congelados,AOA alto aporte de grasa_Palitos de pescado congelados,1 1/2,pieza,42,42,116,6.6,5.3,10.1,1.4,2.1,1.4,48.0,0.0,0.0,13.5,0.0,7.5,9.0,0.3,111.0,247.5,76.5,0.0,ND,ND
AOA alto aporte de grasa,Paloma,AOA alto aporte de grasa_Paloma,45,gramos,45,35,102,6.4,8.2,0.0,2.9,3.4,1.1,32.9,0.0,0.0,25.3,1.8,2.1,4.2,1.2,69.0,18.7,85.9,0.0,ND,ND
AOA alto aporte de grasa,Palomitas de pollo,AOA alto aporte de grasa_Palomitas de pollo,5,pieza,31,31,98,5.5,6.7,6.6,1.2,1.8,3.1,12.4,0.0,0.3,0.0,0.0,ND,9.9,0.4,ND,353.4,ND,0.0,ND,ND
AOA alto aporte de grasa,Pastel de pavo,AOA alto aporte de grasa_Pastel de pavo,1 1/2,rebanada,32,32,105,3.9,9.6,0.6,3.5,4.5,1.1,19.5,0.0,0.0,0.0,0.0,1.5,1.5,0.2,67.5,406.5,25.5,0.0,ND,ND
AOA alto aporte de grasa,Pastel de pollo,AOA alto aporte de grasa_Pastel de pollo,40,gramos,40,40,106,4.0,8.7,2.9,2.9,4.6,1.1,28.6,1.4,0.0,0.0,0.0,0.0,41.4,0.7,72.9,511.4,51.4,0.0,ND,ND
AOA alto aporte de grasa,Pastel de puerco,AOA alto aporte de grasa_Pastel de puerco,1 1/2,rebanada,32,32,105,3.9,9.6,0.6,3.5,4.5,1.1,19.5,0.0,0.0,0.0,0.0,1.5,1.5,0.2,67.5,406.5,25.5,0.0,ND,ND
AOA alto aporte de grasa,Pastel de ternera,AOA alto aporte de grasa_Pastel de ternera,40,gramos,40,40,106,4.0,8.7,2.9,2.9,4.6,1.1,28.6,1.4,0.0,0.0,0.0,0.0,41.4,0.7,72.9,511.4,51.4,0.0,ND,ND
AOA alto aporte de grasa,Pata de carnero cocida,AOA alto aporte de grasa_Pata de carnero cocida,50,gramos,50,35,38,7.4,7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.2,0.4,0.0,0.0,0.0,0.0,ND,ND
AOA alto aporte de grasa,Peperami,AOA alto aporte de grasa_Peperami,3/4,pieza,19,19,103,4.0,9.3,1.0,3.9,3.8,0.8,25.3,0.0,0.0,31.9,0.9,0.0,13.1,0.6,47.8,277.5,33.8,0.0,ND,ND
AOA alto aporte de grasa,Peperoni,AOA alto aporte de grasa_Peperoni,10,rebanada,20,20,99,4.5,8.8,0.0,3.0,3.4,0.7,21.0,0.0,0.0,0.0,0.1,1.0,4.4,0.3,55.8,330.6,35.4,0.0,ND,ND
AOA alto aporte de grasa,Pescuezo de pollo con piel sin hueso,AOA alto aporte de grasa_Pescuezo de pollo con piel sin hueso,1,pieza,50,32,95,4.5,8.4,0.0,2.3,3.4,1.8,31.7,0.0,0.0,20.8,0.0,1.6,5.8,0.6,43.8,20.5,35.8,0.0,ND,ND
AOA alto aporte de grasa,Pollo crispy,AOA alto aporte de grasa_Pollo crispy,45,gramos,45,34,106,5.4,7.1,5.1,1.7,0.0,0.0,20.0,0.0,0.6,0.0,0.0,0.0,5.7,0.3,0.0,154.4,0.0,0.0,ND,ND
AOA alto aporte de grasa,Pollo rostizado,AOA alto aporte de grasa_Pollo rostizado,1/3,pieza,50,28,80,6.7,6.3,0.0,1.9,2.5,1.4,0.0,0.0,0.0,57.4,0.0,0.0,2.8,0.5,0.0,0.0,0.0,0.0,ND,ND
AOA alto aporte de grasa,Pulpa de res,AOA alto aporte de grasa_Pulpa de res,25,gramos,25,25,87,6.8,6.5,0.0,2.6,2.8,0.2,26.0,0.0,0.0,0.0,0.0,1.3,3.3,0.8,58.5,16.3,50.8,0.0,ND,ND
AOA alto aporte de grasa,Queso amarillo,AOA alto aporte de grasa_Queso amarillo,2,rebanada,42,42,100,7.0,5.9,4.9,3.7,1.7,0.2,15.1,3.3,0.0,47.9,0.0,2.9,236.0,0.1,101.6,564.9,299.0,0.0,ND,ND
AOA alto aporte de grasa,Queso Americano fundido,AOA alto aporte de grasa_Queso Americano fundido,7,cdita,39,39,105,5.8,8.2,2.3,5.8,0.0,0.0,23.3,2.3,0.0,0.0,0.0,0.0,175.0,0.0,87.5,653.3,350.0,0.0,ND,ND
AOA alto aporte de grasa,Queso a�ejo,AOA alto aporte de grasa_Queso a�ejo,25,gramos,25,25,95,5.4,7.6,1.2,4.8,2.1,0.3,26.8,0.0,0.0,16.1,0.0,0.0,172.3,0.1,22.3,286.6,112.5,0.0,ND,ND
AOA alto aporte de grasa,Queso a�ejo rallado,AOA alto aporte de grasa_Queso a�ejo rallado,4,cda,29,29,109,6.3,8.7,1.3,5.5,2.5,0.3,30.8,0.0,0.0,18.5,0.0,0.0,198.2,0.1,25.7,329.7,129.4,0.0,ND,ND
AOA alto aporte de grasa,Queso Asadero,AOA alto aporte de grasa_Queso Asadero,1,rebanada,28,28,100,6.4,8.0,0.8,5.1,2.3,0.2,30.0,0.8,0.0,18.0,0.0,2.0,187.0,0.1,24.0,186.0,126.0,0.0,ND,ND
AOA alto aporte de grasa,Queso Blue Cheese,AOA alto aporte de grasa_Queso Blue Cheese,30,gramos,30,30,106,6.4,8.6,0.7,5.6,2.3,0.2,22.5,0.2,0.0,69.6,0.0,10.7,160.7,0.1,78.2,424.3,117.9,0.0,ND,ND
AOA alto aporte de grasa,Queso Brick,AOA alto aporte de grasa_Queso Brick,25,gramos,25,25,94,5.9,7.5,0.7,4.7,2.1,0.2,24.1,0.0,0.0,76.8,0.0,5.4,170.5,0.1,33.9,142.0,114.3,0.0,ND,ND
AOA alto aporte de grasa,Queso Brie,AOA alto aporte de grasa_Queso Brie,30,gramos,30,30,102,6.3,8.4,0.1,5.3,2.5,0.2,30.0,0.0,0.0,55.7,0.0,19.3,55.7,0.2,46.1,190.7,56.8,0.0,ND,ND
AOA alto aporte de grasa,Queso Camembert,AOA alto aporte de grasa_Queso Camembert,35,gramos,35,35,106,7.0,8.6,0.1,5.4,2.5,0.3,25.0,0.0,0.0,88.8,0.0,22.5,137.5,0.1,66.3,298.8,122.5,0.0,ND,ND
AOA alto aporte de grasa,Queso Canasto,AOA alto aporte de grasa_Queso Canasto,30,gramos,30,30,87,8.5,10.0,0.4,0.0,0.0,0.0,25.5,0.0,0.0,195.0,0.0,0.0,258.0,0.7,0.0,0.0,0.0,0.0,ND,ND
AOA alto aporte de grasa,Queso Cheddar,AOA alto aporte de grasa_Queso Cheddar,3/4,rebanada,21,21,85,5.2,7.0,0.3,4.4,2.0,0.2,22.1,0.4,0.0,63.6,0.0,3.9,151.5,0.1,20.6,130.3,107.6,0.0,ND,ND
AOA alto aporte de grasa,Queso Cheddar rallado,AOA alto aporte de grasa_Queso Cheddar rallado,1/4,taza,28,28,114,7.0,9.4,0.4,6.0,2.7,0.3,29.8,0.5,0.0,85.5,0.0,5.3,203.8,0.2,27.8,175.3,144.8,0.0,ND,ND
AOA alto aporte de grasa,Queso Cheezwlz,AOA alto aporte de grasa_Queso Cheezwlz,2,cda,33,33,91,4.0,6.9,3.0,4.3,0.0,0.0,24.8,2.2,0.1,ND,0.1,ND,118.5,0.1,79.2,540.5,266.0,0.0,ND,ND
AOA alto aporte de grasa,Queso Cheshire,AOA alto aporte de grasa_Queso Cheshire,1,rebanada,28,28,108,6.5,8.6,1.3,5.5,2.4,0.2,29.0,ND,0.0,65.0,ND,ND,180.0,0.1,ND,196.0,ND,0.0,ND,ND
AOA alto aporte de grasa,Queso Chihuahua,AOA alto aporte de grasa_Queso Chihuahua,25,gramos,25,25,94,5.4,7.5,1.4,4.7,2.1,0.3,26.3,1.4,0.0,16.1,0.0,0.9,162.8,0.1,13.4,156.3,111.6,0.0,ND,ND
AOA alto aporte de grasa,Queso Chihuahua fresco,AOA alto aporte de grasa_Queso Chihuahua fresco,1,rebanada,28,28,105,6.0,8.4,1.6,5.3,2.4,0.3,29.4,1.6,0.0,18.0,0.0,1.0,182.3,0.1,15.0,175.0,125.0,0.0,ND,ND
AOA alto aporte de grasa,Queso Chihuahua rallado,AOA alto aporte de grasa_Queso Chihuahua rallado,1/4,taza,28,28,106,6.1,8.5,1.6,5.3,2.4,0.3,29.7,1.6,0.0,18.2,0.0,1.0,183.9,0.1,15.1,176.6,126.1,0.0,ND,ND
AOA alto aporte de grasa,Queso Colby estilo Cheddar,AOA alto aporte de grasa_Queso Colby estilo Cheddar,1,rebanada,28,28,110,6.7,9.0,0.7,5.7,2.6,0.3,27.0,0.1,0.0,74.0,ND,ND,192.0,0.2,ND,169.0,ND,0.0,ND,ND
AOA alto aporte de grasa,Queso Cotlja,AOA alto aporte de grasa_Queso Cotlja,30,gramos,30,30,87,8.5,10.0,0.4,0.0,0.0,0.0,25.5,0.0,0.0,195.0,0.0,0.0,258.0,0.7,0.0,0.0,0.0,0.0,ND,ND
AOA alto aporte de grasa,Queso crema light,AOA alto aporte de grasa_Queso crema light,3,cda,45,45,104,4.8,7.9,3.2,5.0,2.2,0.3,25.2,0.1,0.0,81.5,0.0,8.1,50.4,0.8,75.2,133.2,65.7,0.0,ND,ND
AOA alto aporte de grasa,Queso de cabra con ceniza,AOA alto aporte de grasa_Queso de cabra con ceniza,35,gramos,35,35,94,6.6,7.4,0.3,5.1,1.8,0.1,16.3,0.3,0.0,100.0,0.0,3.8,49.0,0.7,8.8,130.0,91.3,0.0,ND,ND
AOA alto aporte de grasa,Queso de cabra duro,AOA alto aporte de grasa_Queso de cabra duro,20,gramos,20,20,91,6.2,7.2,0.4,5.0,1.6,0.1,21.4,0.0,0.0,96.4,0.0,0.7,181.4,0.4,10.0,70.0,147.9,0.0,ND,ND
AOA alto aporte de grasa,Queso de cabra semi suave,AOA alto aporte de grasa_Queso de cabra semi suave,1,rebanada,28,28,102,6.0,8.4,0.7,5.8,1.9,1.9,22.0,0.7,0.0,114.0,ND,ND,83.0,0.5,ND,144.0,ND,0.0,ND,ND
AOA alto aporte de grasa,Queso de cabra suave,AOA alto aporte de grasa_Queso de cabra suave,35,gramos,35,35,94,6.6,7.4,0.3,5.1,1.8,1.8,16.3,0.3,0.0,100.0,0.0,3.8,49.0,0.7,8.8,130.0,91.3,0.0,ND,ND
AOA alto aporte de grasa,Queso Edam,AOA alto aporte de grasa_Queso Edam,30,gramos,30,30,107,7.5,8.3,0.4,5.3,2.4,2.4,26.8,0.4,0.0,72.6,0.0,4.8,219.3,0.1,56.4,289.5,160.8,0.0,ND,ND
AOA alto aporte de grasa,Queso Feta,AOA alto aporte de grasa_Queso Feta,40,gramos,40,40,106,5.7,8.5,1.6,6.0,1.8,1.8,35.7,1.6,0.0,50.0,0.0,12.8,197.2,0.3,25.7,451.4,137.1,0.0,ND,ND
AOA alto aporte de grasa,Queso Fontina,AOA alto aporte de grasa_Queso Fontina,25,gramos,25,25,97,6.4,7.8,0.4,4.8,2.2,2.2,29.0,0.4,0.0,64.5,0.0,1.5,137.5,0.1,16.0,200.0,86.5,0.0,ND,ND
AOA alto aporte de grasa,Queso fundido,AOA alto aporte de grasa_Queso fundido,3,cda,45,45,103,6.4,6.0,1.7,3.9,1.6,1.6,20.4,0.0,0.0,ND,0.0,1.7,214.2,0.2,47.1,59.6,137.5,0.0,ND,ND
AOA alto aporte de grasa,Queso Gouda,AOA alto aporte de grasa_Queso Gouda,30,gramos,30,30,107,7.5,8.2,0.7,5.3,2.3,2.3,34.3,0.7,0.0,49.2,0.0,6.3,210.0,0.1,36.3,245.7,163.8,0.0,ND,ND
AOA alto aporte de grasa,Queso Gruyere,AOA alto aporte de grasa_Queso Gruyere,25,gramos,25,25,103,7.5,8.1,0.1,4.7,2.5,2.5,27.5,0.1,0.0,67.0,0.0,2.5,252.8,0.0,20.3,84.0,151.3,0.0,ND,ND
AOA alto aporte de grasa,Queso Lmburger,AOA alto aporte de grasa_Queso Lmburger,1,rebanada,28,28,92,5.6,7.6,0.1,4.7,2.4,2.4,25.0,0.1,0.0,95.0,ND,ND,139.0,0.0,ND,224.0,ND,0.0,ND,ND
AOA alto aporte de grasa,Queso Manchego,AOA alto aporte de grasa_Queso Manchego,25,gramos,25,25,102,6.1,8.1,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ND,ND
AOA alto aporte de grasa,Queso Manchego rallado,AOA alto aporte de grasa_Queso Manchego rallado,25,gramos,25,25,102,6.1,8.1,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ND,ND
AOA alto aporte de grasa,Queso Manchego rebanado,AOA alto aporte de grasa_Queso Manchego rebanado,25,gramos,25,25,102,6.1,8.1,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ND,ND
AOA alto aporte de grasa,Queso Menonita,AOA alto aporte de grasa_Queso Menonita,25,gramos,25,25,95,5.4,7.5,1.4,4.7,2.1,2.1,26.8,0.0,0.0,16.1,0.0,0.9,165.2,0.1,13.4,156.3,111.6,0.0,ND,ND
AOA alto aporte de grasa,Queso Monterrey,AOA alto aporte de grasa_Queso Monterrey,25,gramos,25,25,93,6.1,7.6,0.2,4.8,2.2,2.2,22.3,0.1,0.0,48.0,0.0,4.5,186.5,0.2,20.3,134.0,111.0,0.0,ND,ND
AOA alto aporte de grasa,Queso Mozzarella,AOA alto aporte de grasa_Queso Mozzarella,35,gramos,35,35,105,7.8,7.8,0.8,4.6,2.3,2.3,27.5,0.4,0.0,60.9,0.0,2.5,176.8,0.2,26.6,219.5,123.9,0.0,ND,ND
AOA alto aporte de grasa,Queso Mozzarella rallado,AOA alto aporte de grasa_Queso Mozzarella rallado,35,gramos,35,35,105,7.8,7.8,0.8,4.6,2.3,2.3,27.5,0.4,0.0,60.9,0.0,2.5,176.8,0.2,26.6,219.5,123.9,0.0,ND,ND
AOA alto aporte de grasa,Queso Mozzarella suave,AOA alto aporte de grasa_Queso Mozzarella suave,1,rebanada,28,28,89,6.0,6.9,0.7,4.4,2.0,2.0,25.0,0.3,0.0,53.8,0.0,2.2,163.0,0.1,21.0,116.2,115.4,0.0,ND,ND
AOA alto aporte de grasa,Queso Muenster,AOA alto aporte de grasa_Queso Muenster,1,rebanada,28,28,103,6.6,8.4,0.3,5.4,2.4,0.2,27.0,0.3,0.0,83.0,ND,ND,201.0,0.1,ND,176.0,ND,0.0,ND,ND
AOA alto aporte de grasa,Queso Neufchatel,AOA alto aporte de grasa_Queso Neufchatel,35,gramos,35,35,91,3.5,8.2,1.0,5.2,2.4,0.2,26.6,0.0,0.0,101.2,0.0,3.9,26.3,0.1,39.9,139.7,47.6,0.0,ND,ND
AOA alto aporte de grasa,Queso Oaxaca,AOA alto aporte de grasa_Queso Oaxaca,30,gramos,30,30,95,7.7,6.6,0.9,0.0,0.0,0.0,25.8,0.0,0.0,0.8,0.0,0.0,140.7,1.0,0.0,0.0,0.0,0.0,ND,ND
AOA alto aporte de grasa,Queso pasteurizado Americano,AOA alto aporte de grasa_Queso pasteurizado Americano,1,rebanada,28,28,105,6.2,8.7,0.4,5.5,2.1,0.2,26.3,0.0,0.0,69.2,0.0,2.2,172.5,0.1,45.4,400.4,0.0,0.0,ND,ND
AOA alto aporte de grasa,Queso pasteurizado Suizo,AOA alto aporte de grasa_Queso pasteurizado Suizo,1 1/2,rebanada,32,32,105,7.8,7.9,0.7,5.1,2.2,0.2,26.8,0.4,0.0,60.5,0.0,0.0,243.2,0.2,68.0,431.6,0.0,0.0,ND,ND
AOA alto aporte de grasa,Queso Port Salut,AOA alto aporte de grasa_Queso Port Salut,1,rebanada,28,28,99,6.7,7.9,0.2,4.7,2.6,0.2,34.4,0.2,0.0,87.6,0.0,5.0,182.0,0.1,38.1,149.5,100.8,0.0,ND,ND
AOA alto aporte de grasa,Queso Provolone,AOA alto aporte de grasa_Queso Provolone,1,rebanada,28,28,98,7.2,7.5,0.6,4.8,2.1,0.2,19.3,0.2,0.0,64.4,0.0,2.8,211.7,0.1,38.6,245.3,138.9,0.0,ND,ND
AOA alto aporte de grasa,Queso Ricotta,AOA alto aporte de grasa_Queso Ricotta,1/4,taza,62,62,107,6.9,8.0,1.9,5.1,2.2,0.2,31.2,0.2,0.0,72.0,0.0,7.4,127.5,0.2,64.5,51.6,97.2,0.0,ND,ND
AOA alto aporte de grasa,Queso Romano,AOA alto aporte de grasa_Queso Romano,23,gramos,23,23,89,7.3,6.2,0.8,3.9,1.8,0.1,23.8,0.2,0.0,20.7,0.0,1.6,244.7,0.2,19.7,276.0,174.8,0.0,ND,ND
AOA alto aporte de grasa,Queso Roquefort,AOA alto aporte de grasa_Queso Roquefort,25,gramos,25,25,92,5.4,7.7,0.5,4.8,2.1,0.3,22.5,0.0,0.0,72.5,0.0,12.3,165.5,0.1,22.8,452.3,98.0,0.0,ND,ND
AOA alto aporte de grasa,Queso Suizo,AOA alto aporte de grasa_Queso Suizo,1,rebanada,28,28,106,7.5,7.8,1.5,5.0,2.1,0.3,26.0,0.4,0.0,59.9,0.0,1.7,221.5,0.1,21.6,53.8,158.8,0.0,ND,ND
AOA alto aporte de grasa,Queso Suizo rallado,AOA alto aporte de grasa_Queso Suizo rallado,6,cda,43,43,95,7.4,6.3,2.3,0.0,0.0,0.0,32.4,0.0,0.0,27.7,0.0,0.0,297.2,0.0,0.0,0.0,0.0,0.0,ND,ND
AOA alto aporte de grasa,Queso tipo Americano,AOA alto aporte de grasa_Queso tipo Americano,1 1/2,rebanada,27,27,101,6.0,8.5,0.4,5.3,2.4,0.3,25.1,0.1,0.0,68.5,ND,ND,149.5,0.0,ND,402.1,ND,0.0,ND,ND
AOA alto aporte de grasa,Queso tipo Roquefort,AOA alto aporte de grasa_Queso tipo Roquefort,25,gramos,25,25,92,5.4,7.7,0.5,4.8,2.1,0.3,22.5,0.0,0.0,72.5,0.0,12.3,165.5,0.1,22.8,452.3,98.0,0.0,ND,ND
AOA alto aporte de grasa,Queso Velveta,AOA alto aporte de grasa_Queso Velveta,35,gramos,35,35,100,6.3,7.5,3.8,5.0,0.0,0.0,25.0,2.5,0.0,0.0,0.0,0.0,187.5,0.0,100.0,525.0,312.5,0.0,ND,ND
AOA alto aporte de grasa,Retazo,AOA alto aporte de grasa_Retazo,350,gramos,350,35,104,5.6,8.9,0.0,3.5,3.2,0.2,25.9,0.0,0.0,4.2,0.0,2.5,2.8,0.6,93.5,20.7,0.0,0.0,ND,ND
AOA alto aporte de grasa,Retazo con hueso,AOA alto aporte de grasa_Retazo con hueso,350,gramos,350,35,104,5.6,8.9,0.0,3.5,3.2,0.2,25.9,0.0,0.0,4.2,0.0,2.5,2.8,0.6,93.5,20.7,0.0,0.0,ND,ND
AOA alto aporte de grasa,Retazo de pollo,AOA alto aporte de grasa_Retazo de pollo,350,gramos,350,35,104,5.6,8.9,0.0,3.5,3.2,0.2,25.9,0.0,0.0,4.2,0.0,2.5,2.8,0.6,93.5,20.7,0.0,0.0,ND,ND
AOA alto aporte de grasa,Retazo de res,AOA alto aporte de grasa_Retazo de res,350,gramos,350,35,104,5.6,8.9,0.0,3.5,3.2,0.2,25.9,0.0,0.0,4.2,0.0,2.5,2.8,0.6,93.5,20.7,0.0,0.0,ND,ND
AOA alto aporte de grasa,Retazo de ternera,AOA alto aporte de grasa_Retazo de ternera,350,gramos,350,35,104,5.6,8.9,0.0,3.5,3.2,0.2,25.9,0.0,0.0,4.2,0.0,2.5,2.8,0.6,93.5,20.7,0.0,0.0,ND,ND
AOA alto aporte de grasa,Rib Eye,AOA alto aporte de grasa_Rib Eye,30,gramos,30,30,82,5.3,6.6,0.0,2.7,2.9,0.2,20.4,0.0,0.0,0.0,0.0,1.5,3.9,0.6,91.5,16.8,50.4,0.0,ND,ND
AOA alto aporte de grasa,Salami,AOA alto aporte de grasa_Salami,3,rebanada,27,27,104,6.3,8.1,1.0,2.9,4.0,0.8,27.0,0.0,0.0,0.0,0.0,0.5,2.2,0.4,102.1,542.7,38.3,0.0,ND,ND
AOA alto aporte de grasa,Salami de ternera,AOA alto aporte de grasa_Salami de ternera,6,rebanada,42,42,110,6.4,8.8,1.1,3.8,4.0,0.4,27.4,0.0,0.0,0.0,0.0,0.0,3.7,0.9,95.0,493.0,47.5,0.0,ND,ND
AOA alto aporte de grasa,Salchicha,AOA alto aporte de grasa_Salchicha,3/4,pieza,34,34,114,6.6,9.6,0.0,3.1,4.2,1.3,28.4,0.0,0.0,4.1,0.2,1.0,4.4,0.5,99.2,252.8,55.0,0.0,ND,ND
AOA alto aporte de grasa,Salchicha ahumada,AOA alto aporte de grasa_Salchicha ahumada,1/2,pieza,34,34,109,4.1,9.8,0.8,3.3,4.2,1.3,19.7,0.0,0.0,3.7,0.0,0.7,4.1,0.3,60.9,309.7,41.1,0.0,ND,ND
AOA alto aporte de grasa,Salchicha de pollo,AOA alto aporte de grasa_Salchicha de pollo,3/4,pieza,34,34,100,6.2,8.1,0.0,2.4,3.4,1.6,23.6,0.0,0.0,10.5,0.0,1.4,3.7,0.4,46.9,344.3,37.5,0.0,ND,ND
AOA alto aporte de grasa,Salchicha de puerco,AOA alto aporte de grasa_Salchicha de puerco,3/4,pieza,34,34,114,6.6,9.6,0.0,3.1,4.2,1.3,28.4,0.0,0.0,4.1,0.2,1.0,4.4,0.5,99.2,252.8,55.0,0.0,ND,ND
AOA alto aporte de grasa,Salchicha de ternera,AOA alto aporte de grasa_Salchicha de ternera,1/2,pieza,29,29,90,3.4,8.1,0.5,3.5,3.9,0.4,17.5,0.0,0.0,0.0,0.0,1.0,5.5,0.4,47.5,292.5,25.0,0.0,ND,ND
AOA alto aporte de grasa,Salchicha Vlenna,AOA alto aporte de grasa_Salchicha Vlenna,3,pieza,48,48,110,5.0,9.3,1.2,3.4,4.6,0.6,41.8,0.0,0.0,0.0,0.0,1.9,4.8,0.4,48.5,465.1,23.5,0.0,ND,ND
AOA alto aporte de grasa,Salchicha Vienna ahumada,AOA alto aporte de grasa_Salchicha Vienna ahumada,1 1/2,pieza,41,41,93,4.3,7.9,1.1,2.9,3.9,0.5,35.2,0.0,0.0,0.0,0.0,1.6,4.1,0.4,40.9,392.4,19.8,0.0,ND,ND
AOA alto aporte de grasa,Sesos de res cocidos,AOA alto aporte de grasa_Sesos de res cocidos,60,gramos,60,60,91,7.0,6.3,0.9,1.4,1.1,1.0,1860.0,0.0,0.0,0.0,6.3,3.0,5.4,1.4,146.4,64.8,201.0,0.0,ND,ND
AOA alto aporte de grasa,Sesos de res crudos,AOA alto aporte de grasa_Sesos de res crudos,75,gramos,75,74,105,8.0,7.6,0.8,1.7,1.4,1.2,2212.4,0.0,0.0,0.0,7.9,2.2,31.6,1.9,201.4,92.6,266.1,0.0,ND,ND
AOA alto aporte de grasa,Sesos de res fritos,AOA alto aporte de grasa_Sesos de res fritos,55,gramos,55,55,108,6.9,8.7,0.0,2.0,2.2,1.3,1097.3,0.0,0.0,0.0,1.7,3.3,5.0,1.2,194.7,86.9,212.3,0.0,ND,ND
AOA alto aporte de grasa,T-bone con grasa cocido,AOA alto aporte de grasa_T-bone con grasa cocido,35,gramos,35,32,96,7.4,7.2,0.0,2.8,3.2,0.3,20.5,0.0,0.0,0.0,0.0,2.2,2.2,1.0,88.8,21.1,58.3,0.0,ND,ND
