�ndice,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grupo de alimentos,ALIMENTO,Grupo_de_alimentos_ALIMENTO,Cantidad sugerida,Unidad,Peso bruto (g),Peso neto (g),Energ�a (kcal),Prote�na (g),L�pidos (g),Hidratos de carbono (g),AG saturados (g),AG monoinsaturados (g),AG poli insaturados (g),Colesterol (mg),Az�car (g),Fibra (g),Vitamina A (mg RE),Acido Asc�rbico (mg),�cido F�lico (mg),Calcio (mg),Hierro (mg),Potasio (mg),Sodio (mg),F�sforo (mg),Etanol (g),IG,Carga glic�mica
Verduras,Germinado de lenteja,Verduras_Germinado de lenteja,1/2,taza,17,17,17,1.5,0.1,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.3,2.7,ND,4.1,0.5,ND,1.8,ND,0.0,ND,ND
Verduras,Haba verde,Verduras_Haba verde,4,pieza,32,32,23,1.8,0.2,3.7,0.0,0.0,0.0,0.0,55.0,1.3,5.8,10.6,30.7,7.0,0.6,80.0,16.0,30.4,0.0,2.0,ND
Verduras,Hoja de Nori (alga),Verduras_Hoja de Nori (alga),10,gramos,10,10,20,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,12.0,ND,40.0,0.7,ND,12.0,ND,0.0,ND,ND
Verduras,Hojas de amaranto cocidas,Verduras_Hojas de amaranto cocidas,1/2,taza,90,90,19,1.9,0.2,3.7,0.0,0.0,0.0,0.0,ND,ND,125.1,37.0,51.3,188.1,2.0,576.9,18.9,64.8,0.0,ND,ND
Verduras,Hojas de amaranto crudas,Verduras_Hojas de amaranto crudas,1 1/2,taza,90,90,21,2.2,0.3,3.6,0.0,0.0,0.0,0.0,ND,ND,131.4,39.0,76.5,193.5,2.1,549.9,18.0,45.0,0.0,ND,ND
Verduras,Hojas de chicoria crudas,Verduras_Hojas de chicoria crudas,2 1/2,taza,118,118,24,1.4,0.2,4.0,0.1,0.0,0.1,0.0,ND,1.1,120.4,8.2,166.9,61.1,0.9,369.0,25.9,32.9,0.0,ND,ND
Verduras,Hojas de diente de le�n,Verduras_Hojas de diente de le�n,2,taza,40,36,19,1.0,0.3,3.3,0.0,0.0,0.0,0.0,ND,0.6,39.2,12.6,ND,67.3,1.1,142.9,27.4,23.8,0.0,ND,ND
Verduras,Hojas de parra,Verduras_Hojas de parra,23,gramos,23,23,21,1.3,0.5,4.0,0.0,0.0,0.0,0.0,1.4,2.5,316.5,2.6,ND,83.5,0.6,ND,2.1,ND,0.0,ND,ND
Verduras,Hojas de pata de paloma,Verduras_Hojas de pata de paloma,1/4,taza,25,21,17,0.7,0.3,3.5,0.0,0.0,0.0,0.0,ND,0.4,18.2,9.2,ND,12.9,1.3,ND,ND,ND,0.0,ND,ND
Verduras,Hojas de remolacha crudas,Verduras_Hojas de remolacha crudas,2,hojas,64,64,14,1.4,0.1,2.8,0.0,0.0,0.0,0.0,ND,2.4,202.2,19.2,9.6,74.9,1.6,487.7,144.6,26.2,0.0,ND,ND
Verduras,Hojas de remolacha hervidas,Verduras_Hojas de remolacha hervidas,1/2,taza,72,72,19,1.9,0.1,3.9,0.0,0.0,0.0,0.0,ND,2.1,603.4,17.9,10.1,82.1,1.4,654.5,173.5,29.5,0.0,ND,ND
Verduras,Hongo portobello crudo,Verduras_Hongo portobello crudo,1,pieza,84,81,21,2.0,0.2,4.1,0.0,0.0,0.1,0.0,ND,1.2,0.0,0.0,17.9,6.5,0.5,394.4,4.9,105.9,0.0,ND,ND
Verduras,Hongo shiitake deshidratado,Verduras_Hongo shiitake deshidratado,1,pieza,4,4,11,0.3,0.0,2.7,0.0,0.0,0.0,0.0,ND,0.4,0.0,0.1,5.9,0.4,0.1,55.2,0.5,10.6,0.0,ND,ND
Verduras,Hongos crudos,Verduras_Hongos crudos,1,taza,70,63,17,2.0,0.3,2.8,0.0,0.0,0.1,0.0,ND,1.6,0.0,1.9,13.2,12.0,2.7,233.1,2.5,0.0,0.0,ND,ND
Verduras,Huauzontle,Verduras_Huauzontle,1/2,taza,40,40,24,1.8,0.3,4.8,0.0,0.0,0.0,0.0,ND,1.1,50.4,18.0,ND,65.2,2.4,ND,ND,3.5,0.0,ND,ND
